,Title,Company,Location,Salary,Description,Imported From
160,Senior Data Visualisation Engineer,KidsLoop,"London, England",None,"KidsLoop is a dynamic, all-in-one education ecosystem that combines CLMS with interactive activities for use in a traditional or online classroom to create a fully immersive learning experience. We empower educators by giving them dynamic tools to digitize their curriculum and create interesting and interactive classwork and home study. Our own curriculum, Badanamu, is also available through the KidsLoop platform to teach according to our lesson plans, or use as a supplement to your own curriculum.
Responsibilities:
You have experience facilitating conversations between engineering, product, and other internal stakeholders
You take pride in writing elegant, testable, and well-structured front-end code
You lead by example when helping others with code reviews, pair programming, and mentorship
You are excited to explore and implement best practices regarding front-end testing, development, and deployment

:
JavaScript, Data VisualisationJavaScript, Data Visualisation
Show More",GlassDoor
161,Payroll Data Analyst,The Portfolio Group,"London, England",None,"Working from home

Our client is a leading creative production company, producing advertising and marketing content for many of the world's most famous brands, across all media around the world and has grown from a start-up to over 4,000 people, across 28 cities worldwide.

My client are seeking a Payroll Data Analyst that have experience in data transformations and validation either via python, Alteryx. The current data transformation has been built and validation process as part of our SD Worx implementation and currently in UAT. The successful candidate must be able to pick up the work and manage the Alteryx process and be available to deal with any data issues and load data through the process for data reconciliation and for each payroll parallel run.

968080BW

INDPAY
Show More",GlassDoor
162,NLP Data Engineer,Metrica Recruitment,United Kingdom,None,"The Company
An innovative, tech-focused company that specialises in building products to translate text from one language to another in a secure way. Regarded as a pioneer within the community of natural language processing which is at the core of their 55 different machine learning translator models.
The Role
As a data engineer, you'll be responsible for delivering on a wide range of projects including;
using Python and AWS to build data pipelines to feed machine learning models for language analysis
using web scraping techniques to find new datasets online to build out coverage across different domains
Job Owner: t.stillwell
Show More",GlassDoor
163,Data Scientist,UnderwriteMe,"London, England",None,"UnderwriteMe provides technology solutions that enable our partners to transform and disrupt the life insurance industry worldwide. Founded in 2012, our journey started with the Underwriting Rules Engine and Protection Platform in the UK. We have grown to become a leading InsurTech provider across Europe, Asia and Australia with an expanding product portfolio.
As part of our commitment to diversity and inclusion, we will provide reasonable adjustments during the recruitment process to ensure equal access to applicants with disabilities. Please contact us about your needs so that we can discuss these with you to make sure that suitable adjustments are made, where possible.
About the role:
An exciting opportunity has opened for someone to impact the development of the latest product from UnderwriteMe. UnderwriteMe is an early mover in Text Mining for medical underwriting and already has customers testing and collaborating on ideas in this space. As an NLP specialist you’ll have the opportunity to explore new techniques that will be tested with customers and subject matter experts in the real world. You will have support from a leading external research body for Text Mining as well as an in-house network of Data Scientists. The team values innovative problem solving and encourages members to be brave and open to new challenges.





NLP, Python, Deep LearningJava, Python
Show More",GlassDoor
164,Data Engineer Python - Sports Betting,clientserver,"London, England",None,"Data Engineer (Python Spark Kafka AWS). Are you a bright and highly driven individual looking for an opportunity to work alongside a friendly, social and incredibly intelligent team of developers? You could be developing your Data Engineer skills within a collaborative company within the sports betting space where everyone is accessible and technology is at the heart of the business. As a Data Engineer you will be part of a vital team who develop software to support the company's data analysts.

You will build and maintain high performance, scalable data streaming pipelines and distributed querying technologies using Python and AWS. You will influence the technical designs and lead the technical delivery of analytics platforms within a collaborative, small team environment. The company is based in a fantastic, well known and scenic area of London with plenty of pubs, restaurants and shops nearby. You can enjoy a wide range of perks including free breakfast, lunch and dinner every day, an on-site gym and sauna, games room with pool tables and dart boards, annual engineering events and regular social events.

You'll be expected to be office based for the majority of time but you can work from home 1 day a week. Requirements: *An experience Data Engineer who has built distributed, high performance data pipelines *Very good Python development skills *Strong ETL experience *Knowledge of Spark and Kafka *Familiar with Cloud technologies (AWS preferred) *Excellent communication skills; comfortable liaising with stakeholders across the business As a Data Engineer you can expect to earn a competitive salary (up to £80k) plus benefits. Apply today or call to have a confidential discussion about this Data Engineer (Python) role.
Show More",GlassDoor
165,Graduate Data Engineer,Graduate Recruitment Bureau,"London, England",None,"The Company
A rapidly growing, independent consultancy that provide both business and technical solutions to top-tier and boutique investment clients.
The Role
This is a great opportunity for a graduate looking to start their career within data. You will be exposed to designing, delivering and supporting the implementation of data strategies.
You will be:
A team member within the data strategy practice
Providing technical data centric solutions to a growing client base
Show More",GlassDoor
166,Data Scientist - Inside IR35,Lorien,"London, England",None,"Data Scientist - Inside IR35
6 month contract
Remote working with potentially 1 day per week In the London office
Betting and Gaming Industry
Data Scientist required for this global company with more than 20 million users and 160 terabytes of data daily.
As a Data Scientist you'll have a fantastic opportunity to immerse yourself in large volume of data at an exciting time in a digital transformation, as my client build a new Smart Data Platform on Snowflake / AWS and develop models in Databricks and Python.
Show More",GlassDoor
167,Senior Data Engineer - Python and Airflow Required,Daniel Alexander Recruitment,"London, England",None,"A leading Fintech Trading company based in Central London are looking to recruit a 'Senior Data Engineer'
The role is paying circa £95K (£80-85K basic plus bonus)
The role incorporates the following -
Manage and oversee the data pipeline that is feeding reporting and ML models (tech stack based on Python/Airflow, Dremio)
Interface with Architecture and Dev teams to facilitate development of the tech stacks and additional data sources
Use Python (main libraries such as pandas, Pyodbc, sqlalchemy, airflow etc) to develop custom connection and data feeds through 3rd party APIs
Use SQL scripting to manipulate and extract data from large relational databases & automate the process for importing data from multiple sources and various file formats. (Flat files / ODBC / OLDB etc).
Show More",GlassDoor
168,Data Scientist - R& Python,Metrica Recruitment,"London, England",None,"The Company
A well-established location strategy and analytics consultancy, delivering geographically focused analysis and insights to clients across the UK and further afield. This organisation collaborates with leading companies across a number of different industries; including but not limited to, retail, leisure, central government & automotive.
The Role
As a data scientist, you will be responsible for utilising the most cutting edge data techniques to deliver bespoke solutions to both internal stakeholders and clients alike. You should expect to be exploring the newest methodologies within the machine learning and natural language processing space. With complete autonomy to generate the best results, this is undoubtedly a fantastic opportunity for an ambitious individual looking to accelerate their learning.
Job Owner: t.stillwell
Show More",GlassDoor
169,Data Analyst - SQL - Python - R,Lorien,"London, England",None,"Data Analyst - SQL - Python - R
London (flexible working available)
Base salary, with bonus and benefits
The role:
You will be part of a high calibre team of Analysts, supported by Analytics Managers
You'll be primarily focused on pricing and product analysis, and will work across the core brands
You'll develop & maintain relationships with your stakeholders, championing a collaborative approach to requirements gathering and the formation of compelling analysis.
The requirements:
Show More",GlassDoor
170,Data Engineer,Pertemps Network Group,"London, England",None,"Company information
A public sector body providing vital workplace services to employees, trustees, service providers and service advisors. While the Data Engineer role will be 90% remote and 10% office-based, the office is based in picturesque Brighton, a short walk from the train station, and you’ll be spoiled for choice by the coffee shops and restaurants at the nearby North Laine retail complex.

Job summary
This permanent role would suit a time-served Data Engineer with a history of creating pragmatic, data-led solutions, preferably in the public sector. The purpose of the role is to help the business introduce Azure technologies as it eases into more innovative, data-driven regulation.

Job role
You’ll work alongside a product owner who reports to an analytical community which uses this data to make risk-informed decisions.

Required skills and experience

Desirable skills

Benefits

This is a great opportunity to build knowledge in Azure technologies and take your career to the next level.
Show More",GlassDoor
171,Data Engineer,Fusion People Ltd,"Stafford, England",None,"Data Engineer : I am looking for a pair of Data Engineers for a project in Stafford, it is a 6 week + project you will need to hold a cscs card and you will be working on Cat 6 cabling works. Rate is : PAYE £120 Umbrella £150 If interested please apply with CV and follow up with a call to Gary @ Fusion on 01489 865242 for more info - Fusion People are committed to promoting equal opportunities to people regardless of age, gender, religion, belief, race, sexuality or disability. We operate as an employment agency and employment business. You'll find a wide selection of vacancies on our website.
Show More",GlassDoor
172,Data Analyst,Talento Group,"Edinburgh, Scotland",None,"Job Title: Data Analyst
Hours: Full time, permanent
Location: Remote working
Salary: £26,000
If you have experience with CRM systems, you are analytical in your approach and would love to work in the third sector – we want to hear from you!
The Role;
Evaluating the clients database CRM with ongoing management
Show More",GlassDoor
173,Marketing Data Analyst,Michael Page UK,,None,"Exciting opportunity for a Marketing Data Analyst
Remote work with occasional office visit
About Our Client
My client is a dynamic, forward thinking business with a wealth of expertise through their 13 market leading brands. You will be joining a welcoming team who operate in a fast paced environment.
Job Description
As the Marketing Data Analyst you will be examining the market statistics and help the team understand the impact of their marketing strategy. Responsibilities will include:















Show More",GlassDoor
174,Data Visualisation Analyst,Lorien,"London, England",None,"Data Visualisation Analyst
London (flexible working available)
Permanent
The role:
Working within an Agile framework, as a Data Visualisation & Automation Analyst, you'll contribute to the production of data products focused on supporting the delivery of our goals.
You'll deliver value through data across all aspects of the business, providing a range of scalable data products to various business units to help solve complex business challenges and ultimately help to become more data centric.
Creating the right, most efficient solution first time is key. You'll contribute to our focus on rationalising non-value adding tasks, removing inefficiencies and maximising the return that we generate from our data products.
Show More",GlassDoor
175,IT Data Engineer Intern,Lumentum Operations LLC,"Towcester, England",None,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
Lumentum, an intense and exciting growing global company, is looking for interns to join our creative team of engineers working to build and support data & analytics solutions in big data landscape for semiconductor manufacturing. Our team is hard-working, smart, goal-oriented, and creative. We are looking for an intern who will participate in creative way of handling, managing, and deriving meaningful insights from high volume manufacturing and business data. In this position you will ultimately gain real-world hands on experience in a high tech company and at the same time you will participate in an internship program that includes many exciting activities including lunches with executive team members, presentations, and more. Expect to learn all facets of high tech manufacturing data and to leave this position with invaluable skills and industry knowledge.
Show More",GlassDoor
176,Data Engineer,Quorum Network Resources,"Edinburgh, Scotland",None,"Quorum are one of the largest Microsoft Gold Partner IT Consultancy in Scotland as well as being a Microsoft Tier 1 Cloud Solutions Provider and we are currently looking to add a permanent Data Engineer to our well established and rapidly growing data team.
Whilst we are considering Data Engineers with varying levels of experience, you will hit the ground running supporting the Data team working across a wide variety of client projects working across both our SME and Enterprise client base.
Training and development of every employee is hugely important at Quorum, you will be supported and developed at every stage in your career with us and we have our own Microsoft Certified Trainer within the data team. We even pay bonus on the Microsoft Accreditations you gain.
The role:

Show More",GlassDoor
177,Junior Data Scientist,Atos,"Boston, England",None,"About Atos

Atos is a global leader in digital transformation with 110,000 employees in 73 countries and annual revenue of € 12 billion. European number one in Cloud, Cybersecurity and High-Performance Computing, the Group provides end-to-end Orchestrated Hybrid Cloud, Big Data, Business Applications and Digital Workplace solutions. The Group is the Worldwide Information Technology Partner for the Olympic & Paralympic Games and operates under the brands Atos, Atos|Syntel, and Unify. Atos is a SE (Societas Europaea), listed on the CAC40 Paris stock index.

The purpose of Atos is to help design the future of the information space. Its expertise and services support the development of knowledge, education and research in a multicultural approach and contribute to the development of scientific and technological excellence. Across the world, the Group enables its customers and employees, and members of societies at large to live, work and develop sustainably, in a safe and secure information space.

At Atos, our ambition is to be a diverse and inclusive company where people are truly free to be themselves. They can thrive, achieve their personal goals and innovate without limitations. We welcome everyone to apply.

Family friendly, flexible working arrangements will be considered across all roles.

The opportunity

We are looking for a Junior Data Scientist to join our team. If you are a forward-thinking, motivated person, who loves working in a fast-paced environment, then, read below!


Support the Senior Data Scientist to deliver innovative technical solutions that will meet the requirements of our clients. This will entail gathering requirements, analysing, developing, testing, evaluating and deploying the appropriate solution through the full development lifecycle.

Learn the data engineering skills required to gather raw data from a variety of sources and transform it into inputs for Data Science models.

Learn to train, evaluate, deploy and monitor machine learning models using Python or R and no code / low code technologies.

Maintaining clear and coherent communication, both verbal and written, between project team members and the client to provide updates on progress, facilitate meetings and report outcomes.

Experiment with new tools and techniques which might benefit current or future clients.

Person Specification

Passionate about the transformative impact the right information can have on a business and already experimented with how to gain insight from data. Your higher education is likely to be strongly numerical discipline, or able to demonstrate self-guided learning which has provided a foundation for quantitative analysis.

Have an appreciation of statistical methods, experimental design and the underlying principles of machine learning algorithms.

Keen to learn how to transform, analyse and model data from a variety of data sources, extracting and interpreting trends and insights.

Comfortable explaining technical concepts to non-technical audiences, be prepared to participate in meeting and manage situations with imperfect information.

Curiosity about Natural Language Processing would be beneficial as you'll be working with structured and unstructured data, free text being the most common unstructured data we process.

A basic grasp of R or Python is desirable. You will be required to learn one of the two languages for working with data as well as codeless platforms.

What we offer?

A competitive salary and attractive extra benefits.

Working in an innovative environment with motivated colleagues with 'go-getter' demeanour and a committed manager.

Access to our knowledge library and interdisciplinary e-learning portals to further improve.

Individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation!

More reasons to join us

Attractive salary

25 days of Annual leave + an option to purchase more through our Flexible Benefits

Flex benefits system – exciting opportunity to choose your own benefits

Retail discounts

Pension - matching contribution up to 10%

Private Medical Scheme

Life Assurance

Enrolment in our Share scheme - subject to scheme eligibility criteria Unlimited opportunities to learn in our Training platforms

Here at Atos, we want all of our employees to feel valued, appreciated, and free to be who they are at work. Our employee lifecycle processes are designed to prevent discrimination against our people regardless of gender identity or expression, sexual orientation, religion, ethnicity, age, neurodiversity, disability status, citizenship, or any other aspect which makes them unique. Across the globe, we have created a variety of programs to embed our Atos culture of inclusivity, and work hard to ensure that all of our employees have an equal opportunity to contribute and feel that they are exactly where they belong.
Show More",GlassDoor
178,Data Engineer,Aviva,"York, England",None,"Our high-profile Life Data Science Team is currently seeking an enthusiastic Data Engineer to be part of their innovative team which helps shape the future of insurance at Aviva.
We take pride in developing our people; we offer a range of opportunities for both technical and personal development and take a colleague-led approach to shaping the learning and development agenda across the team. Members of the team have access to an extensive range of internal and external training resources, and our collaborative culture means you’ll quickly be able to tap into the knowledge and experience of colleagues working on projects across the entire UK Life business.
The aim of the team is to accelerate the delivery of data science across Aviva’s Life and Health businesses – producing great outcomes for our customers and shareholders. As a team, they work across all business lines, delivering analytics solutions for pricing, risk cost and underwriting, through to customer-facing initiatives in claims, fraud and beyond. Key to supporting the data scientists is provision of datasets to enable the delivery of analytical models.
Show More",GlassDoor
179,Data Engineer,Her Majesty’s Prison and Probation Service,United Kingdom,None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity of the judiciary.
The Role:
You will report to the lead data engineer and work in a wider team to develop courts, prisons and probation data using the MoJ’s analytical platform.
Show More",GlassDoor
180,Data Analyst,Her Majesty’s Prison and Probation Service,United Kingdom,None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity
of the judiciary.
The Role:
Working as part of the Business Partnering Team (BPT) you’ll have ownership of the analytical relationships we share with partners, fully understanding the
Show More",GlassDoor
181,Data Analytics Consultants / Data Scientists (training provided),DataConsulting,"Wakefield, England",None,"DataConsulting is seeking bright and ambitious candidates to train as Data Insight Analysts within DataConsulting's Professional Services team. The role will involve delivering data analytics engagements to DataConsulting’s clients using a number of data analytics technologies. Applicants should have a strong academic track record, qualifications in Mathematics or Computer/Data Science are desirable but not essential.
Key Job Responsibilities
Interact directly with clients and peers to design and implement data analytics solutions to varying number of requirements;
Proactively contributes innovative solutions to help clients solve hard problems;
Provides well written documentation to help drive successful clients implementation of solutions;
Proactively shares and drives knowledge sharing throughout clients and peer interactions;
Show More",GlassDoor
182,Data Engineer,Her Majesty’s Prison and Probation Service,United Kingdom,None,"At the MoJ we do justice through analysis. We are dedicated to improving justice outcomes through the innovative use of data and analysis.
Our high-quality data services help ensure that a wide range of operational decisions from policy to strategy, are supported by robust analytical evidence.
Our work impacts everything from prisoner rehabilitation to the country’s recovery from Covid-19; from more humane divorce proceedings to the diversity of the judiciary.
The Role:
You will report to the lead data engineer and work in a wider team to develop courts, prisons and probation data using the MoJ’s analytical platform.
Show More",GlassDoor
183,NLP Data Engineer,Metrica Recruitment,United Kingdom,None,"The Company
An innovative, tech-focused company that specialises in building products to translate text from one language to another in a secure way. Regarded as a pioneer within the community of natural language processing which is at the core of their 55 different machine learning translator models.
The Role
As a data engineer, you'll be responsible for delivering on a wide range of projects including;
using Python and AWS to build data pipelines to feed machine learning models for language analysis
using web scraping techniques to find new datasets online to build out coverage across different domains
Job Owner: t.stillwell
Show More",GlassDoor
184,Graduate Data Engineer,Graduate Recruitment Bureau,"London, England",None,"The Company
A rapidly growing, independent consultancy that provide both business and technical solutions to top-tier and boutique investment clients.
The Role
This is a great opportunity for a graduate looking to start their career within data. You will be exposed to designing, delivering and supporting the implementation of data strategies.
You will be:
A team member within the data strategy practice
Providing technical data centric solutions to a growing client base
Show More",GlassDoor
185,Data Scientist - Inside IR35,Lorien,"London, England",None,"Data Scientist - Inside IR35
6 month contract
Remote working with potentially 1 day per week In the London office
Betting and Gaming Industry
Data Scientist required for this global company with more than 20 million users and 160 terabytes of data daily.
As a Data Scientist you'll have a fantastic opportunity to immerse yourself in large volume of data at an exciting time in a digital transformation, as my client build a new Smart Data Platform on Snowflake / AWS and develop models in Databricks and Python.
Show More",GlassDoor
186,Data Science Consultant,Metrica Recruitment,"Glasgow, Scotland",None,"The Company
This company is one of the largest providers of consulting and technology services, providing a collaborative, friendly and entrepreneurial environment. A truly global consultancy with a broad client base of blue-chip companies, the company operates across a variety of sectors and industries.
The Role
This role will involve providing your expertise and logical thinking in a way that helps to develop exciting new analytical solutions for intricate business obstacles.
As a consultant you will work across multiple sectors including retail, financial services, and healthcare. Your role will focus on the delivery of a variety of projects; from developing a LinkedIn bot using Python to automate searches for new talent to developing a product-product collaborative filtering recommendation engine using Python, Django and Azure. Your role bridges the gap between complex analytics and management strategy of businesses, a core responsibility is explaining technical outcomes to non-technical stakeholders.
Job Owner: d.prosser
Show More",GlassDoor
187,Graduate Data Scientist,Lorien,England,None,"Graduate Data Scientist
Our global Life Sciences client are looking for a Junior Data Scientist to join them on a contract basis initially - potentially leading to a permanent opportunity.
The successful candidate will work closely with a Senior Data Scientist on the team who will offer them training and development.
Purpose:
The job holder will be responsible for handling data analysis opportunities provided by each service platform
The job holder ensures that Data quality gaps and Data set creation for analysis
Show More",GlassDoor
188,Data Entry Administrator,Lorien,"Edinburgh, Scotland",None,"Data Entry Administrator - Edinburgh - Contract
Our Public Sector client are currently recruiting for a Data Entry Administrator to join on an initial contract basis.
The successful candidate will have the following skills/knowledge:
Experience of analytical work within a customer service environment would be beneficial
Good organisational skills
Good interpersonal and communication skills and experience of working as part of a team in a customer focussed environment.
Ability to work with minimum supervision in an accurate and consistent fashion and to maintain high standards when working under pressure.
Show More",GlassDoor
189,GCP Data Engineer,Uniting People,"London, England",None,"URGENT CONTRACT
6 - 18 MONTHS
LONDON
GCP Data Engineer
Work with technologies and cloud services to automate platforms and software deployments in a fast paced, scalable, secure, and consistent manner.
This job includes the following responsibilities:
· Data engineer with hands on experience in GCP BigQuery, DataFlow, Machine Learning


Show More",GlassDoor
190,IBM Data Stage Migration Engineer,Uniting People,Remote,None,"IBM Data Stage Migration Engineer To fulfil IBM Data Stage Migration Engineer Engineer for a critical programme.
Demonstrable experience as a DataStage developer and basic understanding of datastage administration
Experience in datastage upgrade and migration to cloud pak for data
Good understanding of ETL Best Practices in design and implementation
Job Type: Full-time
Pay: £475.00-£500.00 per day
Schedule:
Show More",GlassDoor
191,Data Analyst,Uniting People,"London, England",None,"Data Analyst
Systems used: AMOS, SAP, Mariapps
Good to Know: SAP SQVI, SQL, Excel (custom filters, pivots, if statements, vlookups), ADO Boards - Visual Studio Team Services
Migrated data and cutover data to analyze back to the source systems
Report back discrepancies and findings
Suggest potential areas for improvements
Contract length: 6 months
Job Types: Full-time, Fixed term
Show More",GlassDoor
192,Data Scientist Intern,Samsung Electronics,United Kingdom,None,"Position Summary
At Samsung Research UK, the Emerging Solutions team’s role is to develop new technologies and services in new business areas for Samsung. The team currently has a focus on Health and Energy.

We are now looking for a Data Scientist Intern to work in our highly experienced data science team. It is a great opportunity to use data science to solve real world problems and help develop new technology and services which could be commercialised globally.

Through this position the candidate will have an opportunity to contribute to the development of future Samsung products and build a strong network within Samsung, while continuing to enhance their network within other communities (e.g. startup and academia).

We are ideally looking for someone who is available for a 9-12 month placement, however if you are available for a minimum of 6 months we still encourage you to apply.
Show More",GlassDoor
193,Data Scientist,Yell,Remote,None,"Data Scientist
We have a brand new role here at Yell , we are looking for a Data Scientist to join our Data and Insight team.
The Data and Insight team are responsible for providing analytics, reporting, research, and managing the listing database including company level insight. This role is to expand the capability of the team in predictive modelling of business behaviour for both customers and prospects.
Role Responsibilities:
Assimilate and standardise input variables
Analyse data to understand the core drivers of customer churn with particular attention to differences with those in the first year of advertising
Analyse data to understand the core drivers of revenue churn
Build a predictive model to drive actions to prevent customer loss and thereby improve churn rates
Build tools for next best action for retention and prospecting to embed in Yell’s account planning process to identify at risk customers in time to service appropriately and change outcome
Utilise business firmographic, interactions and actions over time and recommendations for additional external/market data to make models more robust









Show More",GlassDoor
194,Data Analyst - SQL & Python,Uniting People,"London, England",None,"Role – Data Analyst
Rate – up to £450 per day (InsideIR35)
Location – London
Duration – 6 month rolling contract
We are looking for a qualified candidate that has hands on data analytics skills to help us work with engineers and data Scientist to instrument our apps, so that we can collect the right data in a standard way
SQL Experience of 4-6 Years - Mandatory
Python Experience of 3-5 Years - Mandatory
Good communicator will also be a key as we need that person to drive engineering in the right way to get the right data
Show More",GlassDoor
195,Data Science Intern - QuantumBlack,McKinsey & Company,"London, England",None,"Who You'll Work With
You will join QuantumBlack’s leading data science team for 12 weeks this spring in London. Although you will work primarily within our data science research & development (R&D) team, you will still be able to gain exposure to our world-class data engineers, machine learning engineers, designers and McKinsey experts.
You will be joining a team that will challenge you and invest in your professional development through R&D workstreams. Through this, you will be helping the best organizations in the world solve their most difficult problems.
Learn more about QuantumBlack and our people in this video.
What You'll Do
You will work closely with our team of PhD data scientists on R&D workstreams, attend data science journal clubs and attend interdisciplinary team meetings.
Show More",GlassDoor
196,Data & Analytics Analyst,NatWest Group,"Edinburgh, Scotland",None,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
Join us as a Universal Analyst
Hone your analytical skills and take on a new challenge with great learning and development potential
We’ll look to you to provide an expert analytical service so that we can better understand our customers, processes, channels, products and overall business
You'll be joining a forward thinking and collaborative team environment, where you can expect great visibility as you work with a range of stakeholders
Show More",GlassDoor
197,Power BI Developer,Uniting People,"London, England",None,"URGENT CONTRACT
6 - 18 MONTHS
REMOTE
Expert in Power BI report development, data visualisation and experience in using other BI Tool like Tableau, Qlik etc.
Extensive experience of working in data/reporting/business intelligence projects for last 4/5 years
Experience of deploying security models for PowerBI reports (particularly RLS model etc.)
Expert in knowledge, development, deployment of data warehouse solutions
Extensive experience in Microsoft BI Stack and working with data in azure with databases like SQL etc.
Show More",GlassDoor
198,Data & Analytics - Internship,NatWest Group,"Manchester, England",None,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
About you
To be eligible for our Data & Analytics internship, you’ll need to be in your penultimate year of university and be on course to achieving a 2:1 in your degree
We’re looking for curious, inquisitive people who show a real passion for data and technology, and the drive to explore how it can be used to make a positive difference for our customers
You’ll bring strong problem solving skills, along with an analytical approach and an appreciation of analysis techniques.
Show More",GlassDoor
199,Junior Data Scientist,Barclays,"London, England",None,"Junior Data Scientist
London
As a Barclays Junior Data Scientist, you will support the delivery of innovative customer & client use cases, in partnership with product owners, team members and data experts. Engaging with wider business stakeholders and external clients. Supporting cases across the business areas and team members in key initiatives as well as assisting the design and implementation of prototyping and co-creation with external clients as well as the longer-term strategic E2E product lifecycle roadmaps.
Barclays is one of the world's largest and most respected financial institutions, with 329 years of success, quality and innovation behind us. We offer careers that provide endless opportunity – helping millions of individuals and businesses thrive, and creating financial and digital solutions that the world now takes for granted.












Show More",GlassDoor
200,Data Science Researcher,MasterCard,"London, England",None,"In the Financial Crime Solutions team at Mastercard, we build and deliver products and services powered by payments data to find and stop financial crime. We’re an award winning team with a proven track record of combining data science technique with an intimate knowledge of payments data to aid Financial Institutions in their fight against money laundering and fraud. Headquartered in The City of London, and operating globally, we craft bespoke algorithms that help our clients gain an understanding of the underlying criminal behaviour that drives financial crime, empowering them to take action.

Role Overview

As a Data Scientist, you will join one of the first teams in the world looking at payments data in the UK and across the world. In the research discipline you will help build systems that expose money laundering and detect fraud as well as work with the other data scientists and clients to understand the underlying behaviours employed by criminals. You will be product focused, working in close collaboration with our engineering and operations data scientists as well as the wider sales, consulting, and product teams.

* Perform proof-of-concept projects, engage in product design and build prototypes. * Use the full range of data science based techniques to develop new and novel algorithms to aid existing and new financial crime products. * Be able to perform novel research to help us and our clients understand the different criminal behaviours in payments data. * Think about how derived insights can be turned into new products and services we can offer to external clients. * Be ready to learn new technologies as required and engage with legacy and future technology stacks, in the UK and internationally. * Write white papers, patents, and client facing data visualisations. * Consider the full impact of your work. This means considering privacy, security, and regulation, as well as the performance of your code and the accuracy of your models.

Skills Required

Your passion is focused on the design of algorithms to solve real, pressing problems using data. You will have an interest in the financial services industry and want to tackle financial crime in the wider economy. You are excited by building products for clients and are keen to engage in the design processes this involves. Specifically:

As we are often breaking new ground, both for Mastercard and more widely in our sector, we strongly encourage exploring new technologies and techniques. Some of the following experience is therefore desirable:


Show More",GlassDoor
201,Reporting Business Analyst (Data Analyst),Synapri,Remote,None,"Reporting Business Analyst required for Microsoft Gold partner on a contract basis. This is a fully remote working position and will be working with and end client in the Financial space.
Skills required:
Experience with Power BI
Advanced with Excel
Data background exposure (data analyst background)
Database and data system skills
Analytical skills
Excellent verbal and written communication skills
Show More",GlassDoor
202,"Data Scientist, Climate",NatWest Group,"London, England",None,"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in the United Kingdom and as such all normal working days must be carried out in the United Kingdom.
Join us as a Data Scientist, Climate
Working as part of a growing team, you'll be vital to helping the bank make climate first business decisions, qualifying the environmental impact of our lending and guiding customers to reduce their carbon footprint in an economically sustainable manner.
We’ll look to you to identify and work with data sets from across the bank’s data estate to solve difficult, non-routine analysis problems and apply advanced analytical methods
Show More",GlassDoor
203,Data Science Intern - Summer 2022,FreeAgent,"Edinburgh, Scotland",None,"FreeAgent
FreeAgent is one of the UK's most popular online accounting apps, with over 125,000 customers. FreeAgent removes the stress and pain of dealing with business finances, allowing business owners to focus on running their business!
Our customers love FreeAgent. It is rated 4.7 on Trustpilot.
Our employees love FreeAgent. We are rated 5 stars on Glassdoor.
We believe in the power of a happy and diverse team and we'd love you to join us on this journey
The role ‍
Every summer we invite interns to join our data science and analytics team for three months between June and September. Our interns are treated as full-time employees and become a core part of the team. You will work alongside and be mentored by experienced data scientists, and you'll have the opportunity to contribute to current research and development.













Show More",GlassDoor
204,Data Analyst,Propel,Remote,None,"Job Overview
I am working with a pharmaceutical company who are looking for an additional experienced Data Analyst. They are a growing and dynamic team offering a supportive, trusting and transparent workplace. The business enjoy challenges in a fast pace environment. Your personal growth matters and you will be given plenty of opportunities to learn new technologies, practices and techniques. You will have a lot of opportunity to grow!

Job Description
You will be working as a Data Analyst as part of the PatientMetRx Engineering team. Responsibilities include analysing data for the product and sales team in order for them to engage with customers more and using data to help answer customer questions. In addition, you will be working with Machine Learning and Natural Language Processing specialists to conduct data and machine learning experiments. You will also be reporting directly to the Head of Engineering.

The company are looking for a naturally motivated, knowledgeable Data Analyst with experience in:


If this role sounds of interest to you please get in touch!


Show More",GlassDoor
